University Label,University ID,Neighbor Label,Neighbor ID,closeness_centrality
Nanjing University of Aeronautics & Astronautics,233,Chinese Academy of Sciences,12,0.6519287453543509
Nanjing University of Aeronautics & Astronautics,233,Nanjing University of Science & Technology,42,0.6294234100470181
Nanjing University of Aeronautics & Astronautics,233,Harbin Institute of Technology,98,0.5971358140626835
Nanjing University of Aeronautics & Astronautics,233,Harbin Engineering University,211,0.5878885935513695
Nanjing University of Aeronautics & Astronautics,233,Tsinghua University,24,0.5874133949191686
Nanjing University of Aeronautics & Astronautics,233,Peking University,35,0.5807740609658637
Nanjing University of Aeronautics & Astronautics,233,Shanghai Jiao Tong University,122,0.5768881832615106
Nanjing University of Aeronautics & Astronautics,233,University of California System,827,0.5759085248499943
Nanjing University of Aeronautics & Astronautics,233,Zhejiang University,129,0.574867216634648
Nanjing University of Aeronautics & Astronautics,233,Centre National de la Recherche Scientifique (CNRS),454,0.574867216634648
Nanjing University of Aeronautics & Astronautics,233,Nanjing University,372,0.571187963170896
Nanjing University of Aeronautics & Astronautics,233,N8 Research Partnership,837,0.5704193765418255
Nanjing University of Aeronautics & Astronautics,233,Sun Yat Sen University,181,0.5695890717724779
Nanjing University of Aeronautics & Astronautics,233,Southeast University - China,410,0.5683798882681564
Nanjing University of Aeronautics & Astronautics,233,UDICE-French Research Universities,1415,0.5675555059689836
Nanjing University of Aeronautics & Astronautics,233,University of Chinese Academy of Sciences CAS,830,0.566354932086395
Nanjing University of Aeronautics & Astronautics,233,University of Science & Technology of China CAS,983,0.5638439370427843
Nanjing University of Aeronautics & Astronautics,233,United States Department of Energy (DOE),902,0.5638439370427843
Nanjing University of Aeronautics & Astronautics,233,Shandong University,148,0.563344407530454
Nanjing University of Aeronautics & Astronautics,233,University of London,824,0.5629080447051013
Nanjing University of Aeronautics & Astronautics,233,National University of Singapore,96,0.5616650104891244
Nanjing University of Aeronautics & Astronautics,233,Huazhong University of Science & Technology,138,0.5613551092474067
Nanjing University of Aeronautics & Astronautics,233,Fudan University,246,0.560921821590032
Nanjing University of Aeronautics & Astronautics,233,University of Cambridge,617,0.5608599779492833
Nanjing University of Aeronautics & Astronautics,233,City University of Hong Kong,108,0.5595028596568412
Nanjing University of Aeronautics & Astronautics,233,Wuhan University,265,0.5586426531956952
Nanjing University of Aeronautics & Astronautics,233,Helmholtz Association,967,0.5586426531956952
Nanjing University of Aeronautics & Astronautics,233,Swiss Federal Institutes of Technology Domain,871,0.5579074358411933
