University Label,University ID,Neighbor Label,Neighbor ID,degree_centrality
Harbin Institute of Technology,98,White Rose University Consortium,1170,0.1841950068802831
Harbin Institute of Technology,98,University System of Ohio,908,0.18321210929821113
Harbin Institute of Technology,98,University of Sydney,71,0.17967367800275214
Harbin Engineering University,211,Beijing Institute of Technology,2,0.5502260664438766
Harbin Engineering University,211,Northwestern Polytechnical University,29,0.5421663062708866
Harbin Engineering University,211,Beihang University,18,0.5378415569097701
Harbin Engineering University,211,Chinese Academy of Sciences,12,0.46609003341851785
Harbin Engineering University,211,Nanjing University of Science & Technology,42,0.4112443483389031
Harbin Engineering University,211,Nanjing University of Aeronautics & Astronautics,233,0.4080990760762729
Harbin Engineering University,211,Harbin Institute of Technology,98,0.32533909966581487
Harbin Engineering University,211,Tsinghua University,24,0.2976213878513859
Harbin Engineering University,211,Peking University,35,0.27816001572636134
Harbin Engineering University,211,Shanghai Jiao Tong University,122,0.26656182425791236
Harbin Engineering University,211,University of California System,827,0.2636131315116965
Harbin Engineering University,211,Zhejiang University,129,0.2604678592490663
Harbin Engineering University,211,Centre National de la Recherche Scientifique (CNRS),454,0.2604678592490663
Harbin Engineering University,211,Nanjing University,372,0.24926282681344605
Harbin Engineering University,211,N8 Research Partnership,837,0.24690387261647337
Harbin Engineering University,211,Sun Yat Sen University,181,0.24434833890308633
Harbin Engineering University,211,Southeast University - China,410,0.2406133280912129
Harbin Engineering University,211,UDICE-French Research Universities,1415,0.23805779437782584
Harbin Engineering University,211,University of Chinese Academy of Sciences CAS,830,0.23432278356595243
Harbin Engineering University,211,University of Science & Technology of China CAS,983,0.22645960290937686
Harbin Engineering University,211,United States Department of Energy (DOE),902,0.22645960290937686
Harbin Engineering University,211,Shandong University,148,0.22488696677806175
Harbin Engineering University,211,University of London,824,0.22351091016316102
Harbin Engineering University,211,National University of Singapore,96,0.21957931983487322
Harbin Engineering University,211,Huazhong University of Science & Technology,138,0.21859642225280126
Harbin Engineering University,211,Fudan University,246,0.21722036563790054
Harbin Engineering University,211,University of Cambridge,617,0.21702378612148615
Harbin Engineering University,211,City University of Hong Kong,108,0.21269903676036958
Harbin Engineering University,211,Wuhan University,265,0.20994692353056812
Harbin Engineering University,211,Helmholtz Association,967,0.20994692353056812
Harbin Engineering University,211,Swiss Federal Institutes of Technology Domain,871,0.20758796933359544
Harbin Engineering University,211,Dalian University of Technology,72,0.2066050717515235
Harbin Engineering University,211,Beijing Normal University,285,0.20404953803813644
Harbin Engineering University,211,University of Texas System,832,0.19972478867701987
Harbin Engineering University,211,Pennsylvania Commonwealth System of Higher Education (PCSHE),855,0.19952820916060549
Harbin Engineering University,211,State University System of Florida,844,0.19520345979948892
Harbin Engineering University,211,Xiamen University,26,0.19304108511893062
Harbin Engineering University,211,Max Planck Society,118,0.1914684489876155
Harbin Engineering University,211,East China Normal University,582,0.19028897188912916
Harbin Engineering University,211,Hunan University,157,0.18871633575781405
Harbin Engineering University,211,Harvard University,580,0.1879300176921565
Harbin Engineering University,211,University of California Los Angeles,988,0.18635738156084136
Harbin Engineering University,211,University System of Georgia,834,0.18635738156084136
Harbin Engineering University,211,Egyptian Knowledge Bank (EKB),1055,0.1859642225280126
Harbin Engineering University,211,University of Illinois System,928,0.1859642225280126
Harbin Engineering University,211,University of New South Wales Sydney,65,0.18537448397876943
Harbin Engineering University,211,University College London,825,0.18439158639669748
Harbin Engineering University,211,White Rose University Consortium,1170,0.1841950068802831
Harbin Engineering University,211,University System of Ohio,908,0.18321210929821113
Harbin Engineering University,211,University of Sydney,71,0.17967367800275214
Nanjing University of Aeronautics & Astronautics,233,Beijing Institute of Technology,2,0.5502260664438766
Nanjing University of Aeronautics & Astronautics,233,Northwestern Polytechnical University,29,0.5421663062708866
Nanjing University of Aeronautics & Astronautics,233,Beihang University,18,0.5378415569097701
Nanjing University of Aeronautics & Astronautics,233,Chinese Academy of Sciences,12,0.46609003341851785
Nanjing University of Aeronautics & Astronautics,233,Nanjing University of Science & Technology,42,0.4112443483389031
Nanjing University of Aeronautics & Astronautics,233,Harbin Institute of Technology,98,0.32533909966581487
Nanjing University of Aeronautics & Astronautics,233,Harbin Engineering University,211,0.2989974444662866
Nanjing University of Aeronautics & Astronautics,233,Tsinghua University,24,0.2976213878513859
Nanjing University of Aeronautics & Astronautics,233,Peking University,35,0.27816001572636134
Nanjing University of Aeronautics & Astronautics,233,Shanghai Jiao Tong University,122,0.26656182425791236
Nanjing University of Aeronautics & Astronautics,233,University of California System,827,0.2636131315116965
Nanjing University of Aeronautics & Astronautics,233,Zhejiang University,129,0.2604678592490663
Nanjing University of Aeronautics & Astronautics,233,Centre National de la Recherche Scientifique (CNRS),454,0.2604678592490663
Nanjing University of Aeronautics & Astronautics,233,Nanjing University,372,0.24926282681344605
Nanjing University of Aeronautics & Astronautics,233,N8 Research Partnership,837,0.24690387261647337
Nanjing University of Aeronautics & Astronautics,233,Sun Yat Sen University,181,0.24434833890308633
Nanjing University of Aeronautics & Astronautics,233,Southeast University - China,410,0.2406133280912129
Nanjing University of Aeronautics & Astronautics,233,UDICE-French Research Universities,1415,0.23805779437782584
Nanjing University of Aeronautics & Astronautics,233,University of Chinese Academy of Sciences CAS,830,0.23432278356595243
Nanjing University of Aeronautics & Astronautics,233,University of Science & Technology of China CAS,983,0.22645960290937686
Nanjing University of Aeronautics & Astronautics,233,United States Department of Energy (DOE),902,0.22645960290937686
Nanjing University of Aeronautics & Astronautics,233,Shandong University,148,0.22488696677806175
Nanjing University of Aeronautics & Astronautics,233,University of London,824,0.22351091016316102
Nanjing University of Aeronautics & Astronautics,233,National University of Singapore,96,0.21957931983487322
Nanjing University of Aeronautics & Astronautics,233,Huazhong University of Science & Technology,138,0.21859642225280126
Nanjing University of Aeronautics & Astronautics,233,Fudan University,246,0.21722036563790054
Nanjing University of Aeronautics & Astronautics,233,University of Cambridge,617,0.21702378612148615
Nanjing University of Aeronautics & Astronautics,233,City University of Hong Kong,108,0.21269903676036958
Nanjing University of Aeronautics & Astronautics,233,Wuhan University,265,0.20994692353056812
Nanjing University of Aeronautics & Astronautics,233,Helmholtz Association,967,0.20994692353056812
Nanjing University of Aeronautics & Astronautics,233,Swiss Federal Institutes of Technology Domain,871,0.20758796933359544
Nanjing University of Aeronautics & Astronautics,233,Dalian University of Technology,72,0.2066050717515235
Nanjing University of Aeronautics & Astronautics,233,Beijing Normal University,285,0.20404953803813644
Nanjing University of Aeronautics & Astronautics,233,University of Texas System,832,0.19972478867701987
Nanjing University of Aeronautics & Astronautics,233,Pennsylvania Commonwealth System of Higher Education (PCSHE),855,0.19952820916060549
